"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"4844","Normal/Others","WS/MP090/2024-2025/120997-Construction of community centers and community halls","Karnataka","BELAGAVI(DEPUTY COMMISSIONER BELGAUM_IDA)","Construction of Samuday Bhavan near Madhavanand Ashram Venkatapur, Taluka Mudalagai","Shri Iranna Kadadi (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2025","500000"
"4845","Normal/Others","WS/MP143/2024-2025/21489-Construction of rooms and halls in school and colleges","Rajasthan","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","Construction of For Class rooms At GSSS Thathana, Block Kuchaman City, Nagaur","Dr. Manmohan Singh (2019-24) (NaN-NaN)","Elected MP","N/A","06-Aug-2025","1912773"
"4846","Trust and Society","WS/MP076/2023-2024/19417-Construction of community centers and community halls","Haryana","JIND(DEPUTY COMMISSIONER JIND)","Construction of room/Hall in Pandit Neki Ram Vichar manch and Brahman Dharmshala Uchana( Reg.no 009-01467)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (NaN-NaN)","Elected MP","N/A","04-Jul-2024","1040042"
"4847","Normal/Others","WS/MP085/2024-2025/36433-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Construction of convering slabs to rajakaluve in balagangadharanathswamy circle in Kumbarahalli, Kasagattapura Grama Panchayat","Shri Rajeev Chandrasekhar (2018-24) (NaN-NaN)","Elected MP","N/A","04-Jul-2024","499871"
"4848","Normal/Others","WS/MP104/2023-2024/31302-Construction of buildings for community cultural activities","Madhya Pradesh","CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA)","Construction of Kalamanch","Dr. L. Murugan (2021-24) (NaN-NaN)","Elected MP","N/A","10-Jan-2025","100000"
"4849","Normal/Others","WS/MP067/2023-2024/98102-Installing tube-wells and borewells","Gujarat","RAJKOT(DISTRICT COLLECTOR RAJKOT_IDA)","installing tube well and  bore wall","Shri Mokariya Rambhai (2021-26) (NaN-NaN)","Elected MP","N/A","26-Jul-2024","218689"
"4850","Normal/Others","WS/MP164/2023-2024/80263-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Providing CC Road 190m at Bharathidasan Nagar and Sivasakthi Nagar in Tindivanam Municipality Ward No 3","Shri C. Ve. Shanmugam (2022-26) (NaN-NaN)","Elected MP","N/A","16-Jul-2024","1000000"
"4851","Normal/Others","WS/MP089/2024-2025/91131-Construction of community centers and community halls","Karnataka","HASSAN(DEPUTY COMMISSIONER HASSAN_IDA)","Samudaya Bhavan  Balance work at  Hassan Taluk, Kattaya Hobli, Jakkanahalli  Village","Shri H.D. Devegowda (2020-26) (NaN-NaN)","Elected MP","Images","28-Mar-2026","291533"
"4852","Normal/Others","WS/MP089/2024-2025/91158-Construction of community centers and community halls","Karnataka","HASSAN(DEPUTY COMMISSIONER HASSAN_IDA)","Samudaya Bhavan  Balance work at  Hassan Taluk, Kattaya Hobli, Seeguru Village","Shri H.D. Devegowda (2020-26) (NaN-NaN)","Elected MP","Images","28-Mar-2026","299383"
"4853","Normal/Others","WS/MP089/2024-2025/91086-Construction of community centers and community halls","Karnataka","HASSAN(DEPUTY COMMISSIONER HASSAN_IDA)","Samudaya Bhavan work at Sakaleshpura Taluk Hebsale G.P Kumbaradi  Village","Shri H.D. Devegowda (2020-26) (NaN-NaN)","Elected MP","Images","28-Mar-2026","195839"
"4854","Normal/Others","WS/MP051/2024-2025/116551-Installing hand pumps","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","Gaya Zila ke Mohda Block Ke antargat Sarsu Panchayat ke Gram Jota mai Shri Sanjay Singh ke Makan ke Samip ek Chapakal Ka Nirman karya","Shri Vivek Thakur (2020-24) (NaN-NaN)","Elected MP","N/A","05-Jul-2024","79014"
"4855","Normal/Others","WS/MP051/2024-2025/116550-Installing hand pumps","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","Gaya Zila ke Mohda Block Ke antargat Sevtar Panchayat ke Gram Riula mai Shri Gorelal Singh ke Makan ke Samip ek Chapakal Ka Nirman karya","Shri Vivek Thakur (2020-24) (NaN-NaN)","Elected MP","N/A","05-Jul-2024","79014"
"4856","Normal/Others","WS/MP845/2024-2025/86800-Street lights","Tamil Nadu","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Procurement and supply of Highmast light at  Tiruchengode Taluk Mallasamudram  Union Sarkar Mamundi panchayat Kattupallam Arunthathiyar Street Mariamman Kovil near.","Dr. Anbumani Ramadoss (2019-25) (NaN-NaN)","Elected MP","Images","05-Jul-2024","750000"
"4857","Normal/Others","WS/MP179/2023-2024/95941-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA)","1basti ki soochi letter me attached hai..District-Kanpur,Block-Bidhanu,Gramsabha-Kathara ke Majra Barakhera and Champatpur ki Bastiyon me Interlocking and drain construction ka work hona hai.. 1. Kanpur nagar ke Block-Bidhanu Gram sabha Kathara Majra bada khera I.T.I ke pass se Sanjay ke ghar se  Ramu kuleel ke ghar tak Interlocking and drain construction ka work.(Estimated Amount-9.08 Lakh)","Dr. Ashok Bajpai (2018-24) (NaN-NaN)","Elected MP","N/A","30-Aug-2024","902719"
"4858","Normal/Others","WS/MP067/2023-2024/112024-Construction of bus-sheds or bus-stops","Gujarat","PORBANDAR(DISTRICT COLLECTOR PORBANDAR_IDA)","CONSTRUCTION OF NEW BUS STAND","Shri Mokariya Rambhai (2021-26) (NaN-NaN)","Elected MP","Images","07-Aug-2024","491683"
"4859","Normal/Others","WS/MP089/2024-2025/91121-Construction of community centers and community halls","Karnataka","HASSAN(DEPUTY COMMISSIONER HASSAN_IDA)","Samudaya Bhavan  Balance work at  Hassan Taluk, Kattaya Hobli, Bommenahalli  Village","Shri H.D. Devegowda (2020-26) (NaN-NaN)","Elected MP","Images","05-Jul-2024","299719"
"4860","Normal/Others","WS/MP184/2023-2024/116429-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Gram Sabha Gudiya Pitch Road to Sushil's house. distance 70 m","Shri G.V.L. Narasimha Rao (2018-24) (NaN-NaN)","Elected MP","Images","12-Jul-2024","318815"
"4861","Normal/Others","WS/MP027/2023-2024/5065-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","KRISHNA(DISTRICT COLLECTOR KRISHNA_IDA)","Construction of Cement Concrete Roads","Shri Parimal Nathwani (2020-26) (NaN-NaN)","Elected MP","N/A","05-Jul-2024","2127951"
"4862","Normal/Others","WS/MP016/2024-2025/73154-Construction of buildings for crèches and anganwadies","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Pudukkottai Ward No. 22 Rajagopalapuram area New ANGANWADI building- (2023-24)","Shri M. Mohamed Abdulla (2021-25) (NaN-NaN)","Elected MP","N/A","05-Jul-2024","1499830"
"4863","Normal/Others","WS/MP184/2023-2024/116455-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Govind Patel's house in Gram Sabha Ramdih to Khadanja. distance 46 m","Shri G.V.L. Narasimha Rao (2018-24) (NaN-NaN)","Elected MP","Images","12-Jul-2024","261955"
"4864","Normal/Others","WS/MP044/2023-2024/100746-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Construction work of Nali (Drain) in Turkaulia block, Belwa Ray Bhumihari Tola ward no. 6","Shri Akhilesh Prasad Singh (2018-24) (NaN-NaN)","Elected MP","N/A","15-Jul-2024","1493339"
"4865","Normal/Others","WS/MP874/2024-2025/77975-Construction of roads, link roads, pathways or any other road with or without drainage system","Delhi","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","Construction of WBM Road with Causeway Buchaka Border to Jassi Bas vill Jeetredi Gram Panchayat Saimlakalan Panchayt Samiti Nagar","Shri Mahesh Jethmalani (2021-24) (NaN-NaN)","Elected MP","Images","05-Jul-2024","1499950"
"4866","Normal/Others","WS/MP104/2023-2024/31002-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA)","CC Road","Dr. L. Murugan (2021-24) (NaN-NaN)","Elected MP","Images","29-Jul-2024","250000"
"4867","Normal/Others","WS/MP104/2023-2024/106833-Construction of buildings for community cultural activities","Madhya Pradesh","CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA)","Community Hall Construction (Remaining Amount)","Dr. L. Murugan (2021-24) (NaN-NaN)","Elected MP","N/A","10-Jan-2025","400000"
"4868","Normal/Others","WS/MP104/2023-2024/106834-Construction of community centers and community halls","Madhya Pradesh","CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA)","Community Hall Construction (Remaining Amount)","Dr. L. Murugan (2021-24) (NaN-NaN)","Elected MP","Images","02-Sep-2024","400000"
"4869","Normal/Others","WS/MP104/2023-2024/31297-Construction of buildings for community cultural activities","Madhya Pradesh","CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA)","Construction of Kalamanch","Dr. L. Murugan (2021-24) (NaN-NaN)","Elected MP","N/A","10-Jan-2025","60000"
"4870","Normal/Others","WS/MP151/2023-2024/88137-Construction of public libraries and reading rooms","Rajasthan","Phalodi(DISTRICT COLLECTOR PHALODI_IDA)","Costruction of library at GUP SCHOOL Krishan Nagar Kalan","Shri Rajendra Gehlot (2020-26) (NaN-NaN)","Elected MP","Images","06-Jul-2024","1000000"
"4871","Normal/Others","WS/MP151/2023-2024/88136-Construction of boundary walls of existing public and community buildings","Rajasthan","Phalodi(DISTRICT COLLECTOR PHALODI_IDA)","Constrition of boundry wall at Gups Krishna nagar","Shri Rajendra Gehlot (2020-26) (NaN-NaN)","Elected MP","Images","06-Jul-2024","999942"
"4872","Normal/Others","WS/MP133/2023-2024/67436-Construction of community centers and community halls","Odisha","Baragada(DISTRICT COLLECTOR BARAGARH_IDA)","Const. of Bhawan at Sohela","Shri Niranjan Bishi (2022-26) (NaN-NaN)","Elected MP","N/A","12-Jun-2025","800000"
"4873","Normal/Others","WS/MP832/2023-2024/75646-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","MUNGER(DISTRICT PLANNING OFFICER MUNGER_IDA)","CONSTRUCTION OF PCC ROAD FROM JABBAR ANSARI HOUSE TO MD. TASLIM HOUSE IN WARD 1 BANK PANCHAYAT","Shri Aneel Prasad Hegde (2022-24) (NaN-NaN)","Elected MP","Images","06-Jul-2024","494476"
"4874","Normal/Others","WS/MP069/2023-2024/55151-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","KHEDA(DISTRICT COLLECTOR KHEDA_IDA)","Construction of RCC road in front of Savera hotel near Tolanaka at Radhvanaj village of Matar taluka","Shri Shaktisinh Gohil (2020-26) (NaN-NaN)","Elected MP","N/A","06-Jul-2024","498273"
"4875","Normal/Others","WS/MP089/2024-2025/91043-Construction of community centers and community halls","Karnataka","HASSAN(DEPUTY COMMISSIONER HASSAN_IDA)","Samudaya Bhavan Balance work at Channarayapatna Taluk, Baguru Hobli, Valagerehalli Village Beeralingeshwara Temple Street","Shri H.D. Devegowda (2020-26) (NaN-NaN)","Elected MP","Images","22-Oct-2024","499602"
"4876","Normal/Others","WS/MP160/2024-2025/132967-Providing drains and gutters for public drainage","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Drainage for Public gutters works (Remove damaged gutter and lay new ones). From Theradi Street , upto Korakanathar temple.","Shri G.K. Vasan (2020-26) (NaN-NaN)","Elected MP","N/A","12-Jul-2024","1000000"
"4877","Normal/Others","WS/MP133/2024-2025/65538-Lighting of public spaces","Odisha","BALANGIR(DISTRICT COLLECTOR BOLANGIR_IDA)","Installation of 1 no. of semi-high mast light near Kuturla Shiva Mandir","Shri Niranjan Bishi (2022-26) (NaN-NaN)","Elected MP","Images","06-Jul-2024","250000"
"4878","Normal/Others","WS/MP133/2024-2025/50936-Lighting of public spaces","Odisha","BALANGIR(DISTRICT COLLECTOR BOLANGIR_IDA)","Installation of High Max Light at Larambha","Shri Niranjan Bishi (2022-26) (NaN-NaN)","Elected MP","Images","06-Jul-2024","250000"
"4879","Normal/Others","WS/MP133/2024-2025/75688-Lighting of public spaces","Odisha","BALANGIR(DISTRICT COLLECTOR BOLANGIR_IDA)","Installation of High Max light at Kadopada, Patnagarh, Ward No.10","Shri Niranjan Bishi (2022-26) (NaN-NaN)","Elected MP","Images","06-Jul-2024","500000"
"4880","Normal/Others","WS/MP031/2023-2024/14617-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","Formation of Road from Audhinarayanapuram to Samban Salt Society at East Gogulapalli GP of Allur Mandal","Shri Masthan Rao Yadav Beedha (2022-24) (NaN-NaN)","Elected MP","Images","06-Jul-2024","1726100"
"4881","Normal/Others","WS/MP133/2024-2025/50940-Lighting of public spaces","Odisha","BALANGIR(DISTRICT COLLECTOR BOLANGIR_IDA)","Installation of High Max Light at Fatamunda","Shri Niranjan Bishi (2022-26) (NaN-NaN)","Elected MP","Images","06-Jul-2024","250000"
"4882","Normal/Others","WS/MP133/2024-2025/50942-Lighting of public spaces","Odisha","BALANGIR(DISTRICT COLLECTOR BOLANGIR_IDA)","Installation of High Max Light near Ghasian Hanuman Mandir","Shri Niranjan Bishi (2022-26) (NaN-NaN)","Elected MP","N/A","06-Jul-2024","250000"
"4883","Normal/Others","WS/MP025/2023-2024/61364-Construction of additional rooms and halls in the existing public and community building","Andhra Pradesh","Bapatla(DISTRICT COLLECTOR BAPATLA_IDA)","Providing Additional Amenities to Community Hall Miryalapalem, SC colony, Nizampatnam Mandal","Shri Venkataramana Rao Mopidevi (2020-24) (NaN-NaN)","Elected MP","Images","30-Mar-2026","989060"
"4884","Normal/Others","WS/MP024/2024-2025/128008-Purchase of IT systems, including hardware and software for educational purposes","Andhra Pradesh","PRAKASAM(DISTRICT COLLECTOR PRAKASAM_IDA)","Providing Computers to the ZPH School Gundayapalem (V) of Ongole Mandal","Shri Kanakamedala Ravindra Kumar (2018-24) (NaN-NaN)","Elected MP","Images","26-Jul-2024","300000"
"4885","Normal/Others","WS/MP133/2024-2025/50930-Lighting of public spaces","Odisha","BALANGIR(DISTRICT COLLECTOR BOLANGIR_IDA)","Installation of  High Mast light at Gunanidhi High School at Larambha","Shri Niranjan Bishi (2022-26) (NaN-NaN)","Elected MP","Images","07-Jul-2024","250000"
"4886","Normal/Others","WS/MP133/2024-2025/65541-Lighting of public spaces","Odisha","BALANGIR(DISTRICT COLLECTOR BOLANGIR_IDA)","Installation of 1 no. of semi-high mast light at Patneswari Womens College, Patnagarh","Shri Niranjan Bishi (2022-26) (NaN-NaN)","Elected MP","Images","07-Jul-2024","250000"
"4887","Normal/Others","WS/MP133/2024-2025/50939-Lighting of public spaces","Odisha","BALANGIR(DISTRICT COLLECTOR BOLANGIR_IDA)","Installation of High Max Light at Brahmanpali ,Larambha GP","Shri Niranjan Bishi (2022-26) (NaN-NaN)","Elected MP","Images","07-Jul-2024","250000"
"4888","Normal/Others","WS/MP133/2024-2025/65547-Lighting of public spaces","Odisha","BALANGIR(DISTRICT COLLECTOR BOLANGIR_IDA)","Installation of High  Max light at Khuntsamalei, Patnagarh Block","Shri Niranjan Bishi (2022-26) (NaN-NaN)","Elected MP","Images","07-Jul-2024","200000"
"4889","Normal/Others","WS/MP133/2024-2025/50943-Lighting of public spaces","Odisha","BALANGIR(DISTRICT COLLECTOR BOLANGIR_IDA)","Installation of High Max Light near Gerda Jagannath Mandir","Shri Niranjan Bishi (2022-26) (NaN-NaN)","Elected MP","Images","07-Jul-2024","250000"
"4890","Normal/Others","WS/MP133/2024-2025/65546-Lighting of public spaces","Odisha","BALANGIR(DISTRICT COLLECTOR BOLANGIR_IDA)","Installation of 1 no. of semi-high mast light at Anchalika Mahavidyalaya, Ghasian","Shri Niranjan Bishi (2022-26) (NaN-NaN)","Elected MP","Images","07-Jul-2024","250000"
"4891","Normal/Others","WS/MP133/2024-2025/50937-Lighting of public spaces","Odisha","BALANGIR(DISTRICT COLLECTOR BOLANGIR_IDA)","Installation of High Max Light at Chandanjuri,Larambha GP","Shri Niranjan Bishi (2022-26) (NaN-NaN)","Elected MP","Images","07-Jul-2024","250000"
"4892","Normal/Others","WS/MP133/2024-2025/50935-Lighting of public spaces","Odisha","BALANGIR(DISTRICT COLLECTOR BOLANGIR_IDA)","Installation of High Max Light at Kuturla,Larambha GP","Shri Niranjan Bishi (2022-26) (NaN-NaN)","Elected MP","Images","07-Jul-2024","250000"
"4893","Normal/Others","WS/MP133/2024-2025/65536-Lighting of public spaces","Odisha","BALANGIR(DISTRICT COLLECTOR BOLANGIR_IDA)","Installation of 1 no. of semi-high mast light near Kuturla Govt. UP School","Shri Niranjan Bishi (2022-26) (NaN-NaN)","Elected MP","Images","07-Jul-2024","250000"
"4894","Normal/Others","WS/MP133/2024-2025/50938-Lighting of public spaces","Odisha","BALANGIR(DISTRICT COLLECTOR BOLANGIR_IDA)","Installation of High Max Light at Khuripani,Larambha GP","Shri Niranjan Bishi (2022-26) (NaN-NaN)","Elected MP","Images","07-Jul-2024","250000"
"4895","Normal/Others","WS/MP133/2024-2025/50944-Lighting of public spaces","Odisha","BALANGIR(DISTRICT COLLECTOR BOLANGIR_IDA)","Installation of High Mast light at displaced colony near Amrit Sarovar at  Batharla","Shri Niranjan Bishi (2022-26) (NaN-NaN)","Elected MP","Images","07-Jul-2024","250000"
"4896","Normal/Others","WS/MP026/2023-2024/52706-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA)","Construction of CC Road at Seela palem locality from Munukoti Kannaji Land to Nichana Kolla Krishna Land in K.Gagannadhapuram (V) of Ayinavilli Mandal","Shri Subhas Chandra Bose Pilli (2020-26) (NaN-NaN)","Elected MP","Images","08-Jul-2024","496814"
"4897","Normal/Others","WS/MP026/2023-2024/52705-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA)","Construction of CC Road Yenduru Subhadra Land to Medisetti Satyanarayana House  in K.Gagannadhapuram (V) of Ainavilli Mandal","Shri Subhas Chandra Bose Pilli (2020-26) (NaN-NaN)","Elected MP","Images","08-Jul-2024","496814"
"4898","Normal/Others","WS/MP026/2023-2024/52707-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA)","Construction of CC Road from Yenduri Ravi Land to Yenduri Subhadra Land in K.Gagannadhapuram (V) of Ayinavilli Mandal","Shri Subhas Chandra Bose Pilli (2020-26) (NaN-NaN)","Elected MP","Images","08-Jul-2024","496814"
"4899","Normal/Others","WS/MP150/2023-2024/15801-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","KARAULI(DISTRICT COLLECTOR KARAULI_IDA)","Gram parla khalsa m cc road Bairwa basti m kishni devi ke ghar se bairwa samaj ki shamshanghat tak","Dr. Kirodi Lal Meena (2018-23) (NaN-NaN)","Elected MP","N/A","09-Oct-2025","681207"
"4900","Normal/Others","WS/MP010/2023-2024/25658-Construction of community centers and community halls","Madhya Pradesh","MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA)","samudayik kendra evm samudayik bhavan nirman, ward no. 06, nagar parishad-sitamau, jila-mandsaur","Dr. Sumer Singh Solanki (2020-26) (NaN-NaN)","Elected MP","Images","20-Aug-2024","1000000"
