"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"869","Mizoram","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP129/2026-2027/282242","KOLASIB(Deputy Commissioner Kolasib)","Shri K. Vanlalvena (2020-26) (2020-2026)","Elected MP","14-Aug-2026","LALDUHSAKI","Payment Success","325000"
"870","Gujarat","Lighting of public spaces","WS/MP070/2025-2026/213522","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Smt. Ramilaben Becharbhai Bara (2020-26) (2020-2026)","Elected MP","07-Aug-2026","NIRVI ELECTRICALS","Payment Success","149730"
"871","Gujarat","Lighting of public spaces","WS/MP070/2025-2026/213511","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Smt. Ramilaben Becharbhai Bara (2020-26) (2020-2026)","Elected MP","07-Aug-2026","NIRVI ELECTRICALS","Payment Success","149730"
"872","Gujarat","Lighting of public spaces","WS/MP070/2025-2026/213518","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Smt. Ramilaben Becharbhai Bara (2020-26) (2020-2026)","Elected MP","07-Aug-2026","NIRVI ELECTRICALS","Payment Success","149730"
"873","Gujarat","Lighting of public spaces","WS/MP070/2025-2026/213519","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Smt. Ramilaben Becharbhai Bara (2020-26) (2020-2026)","Elected MP","07-Aug-2026","NIRVI ELECTRICALS","Payment Success","149730"
"874","Gujarat","Lighting of public spaces","WS/MP070/2025-2026/213509","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Smt. Ramilaben Becharbhai Bara (2020-26) (2020-2026)","Elected MP","07-Aug-2026","NIRVI ELECTRICALS","Payment Success","149730"
"875","Gujarat","Lighting of public spaces","WS/MP070/2025-2026/213508","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Smt. Ramilaben Becharbhai Bara (2020-26) (2020-2026)","Elected MP","07-Aug-2026","NIRVI ELECTRICALS","Payment Success","149730"
"876","Gujarat","Lighting of public spaces","WS/MP070/2025-2026/213517","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Smt. Ramilaben Becharbhai Bara (2020-26) (2020-2026)","Elected MP","07-Aug-2026","NIRVI ELECTRICALS","Payment Success","149730"
"877","Gujarat","Lighting of public spaces","WS/MP070/2025-2026/213515","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Smt. Ramilaben Becharbhai Bara (2020-26) (2020-2026)","Elected MP","07-Aug-2026","NIRVI ELECTRICALS","Payment Success","149730"
"878","Gujarat","Lighting of public spaces","WS/MP070/2025-2026/213514","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Smt. Ramilaben Becharbhai Bara (2020-26) (2020-2026)","Elected MP","07-Aug-2026","NIRVI ELECTRICALS","Payment Success","149730"
"879","Gujarat","Lighting of public spaces","WS/MP070/2025-2026/213513","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Smt. Ramilaben Becharbhai Bara (2020-26) (2020-2026)","Elected MP","07-Aug-2026","NIRVI ELECTRICALS","Payment Success","149730"
"880","Gujarat","Lighting of public spaces","WS/MP070/2025-2026/213512","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Smt. Ramilaben Becharbhai Bara (2020-26) (2020-2026)","Elected MP","07-Aug-2026","NIRVI ELECTRICALS","Payment Success","149730"
"881","Gujarat","Lighting of public spaces","WS/MP070/2025-2026/213523","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Smt. Ramilaben Becharbhai Bara (2020-26) (2020-2026)","Elected MP","07-Aug-2026","NIRVI ELECTRICALS","Payment Success","149730"
"882","Gujarat","Lighting of public spaces","WS/MP070/2025-2026/213525","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Smt. Ramilaben Becharbhai Bara (2020-26) (2020-2026)","Elected MP","07-Aug-2026","NIRVI ELECTRICALS","Payment Success","149730"
"883","Gujarat","Lighting of public spaces","WS/MP070/2025-2026/213526","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Smt. Ramilaben Becharbhai Bara (2020-26) (2020-2026)","Elected MP","07-Aug-2026","NIRVI ELECTRICALS","Payment Success","149730"
"884","Gujarat","Lighting of public spaces","WS/MP070/2025-2026/213527","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Smt. Ramilaben Becharbhai Bara (2020-26) (2020-2026)","Elected MP","07-Aug-2026","NIRVI ELECTRICALS","Payment Success","149730"
"885","Gujarat","Lighting of public spaces","WS/MP070/2025-2026/213528","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Smt. Ramilaben Becharbhai Bara (2020-26) (2020-2026)","Elected MP","07-Aug-2026","NIRVI ELECTRICALS","Payment Success","149730"
"886","Gujarat","Lighting of public spaces","WS/MP070/2025-2026/213530","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Smt. Ramilaben Becharbhai Bara (2020-26) (2020-2026)","Elected MP","07-Aug-2026","NIRVI ELECTRICALS","Payment Success","149730"
"887","Gujarat","Lighting of public spaces","WS/MP070/2025-2026/213531","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Smt. Ramilaben Becharbhai Bara (2020-26) (2020-2026)","Elected MP","08-Aug-2026","NIRVI ELECTRICALS","Payment Success","149730"
"888","Gujarat","Lighting of public spaces","WS/MP070/2025-2026/213532","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Smt. Ramilaben Becharbhai Bara (2020-26) (2020-2026)","Elected MP","08-Aug-2026","NIRVI ELECTRICALS","Payment Success","149730"
"889","Gujarat","Lighting of public spaces","WS/MP070/2025-2026/213516","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Smt. Ramilaben Becharbhai Bara (2020-26) (2020-2026)","Elected MP","07-Aug-2026","NIRVI ELECTRICALS","Payment Success","149730"
"890","Gujarat","Lighting of public spaces","WS/MP070/2025-2026/213507","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Smt. Ramilaben Becharbhai Bara (2020-26) (2020-2026)","Elected MP","07-Aug-2026","NIRVI ELECTRICALS","Payment Success","149730"
"891","Gujarat","Lighting of public spaces","WS/MP070/2025-2026/213510","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Smt. Ramilaben Becharbhai Bara (2020-26) (2020-2026)","Elected MP","07-Aug-2026","NIRVI ELECTRICALS","Payment Success","149730"
"892","Gujarat","Lighting of public spaces","WS/MP070/2025-2026/213520","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Smt. Ramilaben Becharbhai Bara (2020-26) (2020-2026)","Elected MP","27-Aug-2026","NIRVI ELECTRICALS","Payment Success","149730"
"893","Gujarat","Lighting of public spaces","WS/MP070/2025-2026/213521","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Smt. Ramilaben Becharbhai Bara (2020-26) (2020-2026)","Elected MP","27-Aug-2026","NIRVI ELECTRICALS","Payment Success","149730"
"894","Gujarat","Lighting of public spaces","WS/MP070/2025-2026/213533","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Smt. Ramilaben Becharbhai Bara (2020-26) (2020-2026)","Elected MP","27-Aug-2026","NIRVI ELECTRICALS","Payment Success","149730"
"895","Gujarat","Lighting of public spaces","WS/MP070/2025-2026/213534","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Smt. Ramilaben Becharbhai Bara (2020-26) (2020-2026)","Elected MP","27-Aug-2026","NIRVI ELECTRICALS","Payment Success","149730"
"896","Gujarat","Lighting of public spaces","WS/MP070/2025-2026/213535","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Smt. Ramilaben Becharbhai Bara (2020-26) (2020-2026)","Elected MP","27-Aug-2026","NIRVI ELECTRICALS","Payment Success","149730"
"897","Gujarat","Lighting of public spaces","WS/MP070/2025-2026/213536","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Smt. Ramilaben Becharbhai Bara (2020-26) (2020-2026)","Elected MP","27-Aug-2026","NIRVI ELECTRICALS","Payment Success","149730"
"898","Gujarat","Lighting of public spaces","WS/MP070/2025-2026/213537","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Smt. Ramilaben Becharbhai Bara (2020-26) (2020-2026)","Elected MP","27-Aug-2026","NIRVI ELECTRICALS","Payment Success","149730"
"899","Gujarat","Lighting of public spaces","WS/MP070/2025-2026/213538","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Smt. Ramilaben Becharbhai Bara (2020-26) (2020-2026)","Elected MP","27-Aug-2026","NIRVI ELECTRICALS","Payment Success","149730"
"900","Gujarat","Lighting of public spaces","WS/MP070/2025-2026/213539","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Smt. Ramilaben Becharbhai Bara (2020-26) (2020-2026)","Elected MP","27-Aug-2026","NIRVI ELECTRICALS","Payment Success","149730"
"901","Gujarat","Lighting of public spaces","WS/MP070/2025-2026/213540","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Smt. Ramilaben Becharbhai Bara (2020-26) (2020-2026)","Elected MP","27-Aug-2026","NIRVI ELECTRICALS","Payment Success","149730"
"902","Gujarat","Lighting of public spaces","WS/MP070/2025-2026/213541","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Smt. Ramilaben Becharbhai Bara (2020-26) (2020-2026)","Elected MP","27-Aug-2026","NIRVI ELECTRICALS","Payment Success","149730"
"903","Gujarat","Lighting of public spaces","WS/MP070/2025-2026/213542","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Smt. Ramilaben Becharbhai Bara (2020-26) (2020-2026)","Elected MP","27-Aug-2026","NIRVI ELECTRICALS","Payment Success","149730"
"904","Gujarat","Lighting of public spaces","WS/MP070/2025-2026/213543","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Smt. Ramilaben Becharbhai Bara (2020-26) (2020-2026)","Elected MP","27-Aug-2026","NIRVI ELECTRICALS","Payment Success","149730"
"905","Gujarat","Lighting of public spaces","WS/MP070/2025-2026/213544","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Smt. Ramilaben Becharbhai Bara (2020-26) (2020-2026)","Elected MP","27-Aug-2026","NIRVI ELECTRICALS","Payment Success","149730"
"906","Gujarat","Lighting of public spaces","WS/MP070/2025-2026/213545","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Smt. Ramilaben Becharbhai Bara (2020-26) (2020-2026)","Elected MP","27-Aug-2026","NIRVI ELECTRICALS","Payment Success","149730"
"907","Gujarat","Lighting of public spaces","WS/MP070/2025-2026/213546","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Smt. Ramilaben Becharbhai Bara (2020-26) (2020-2026)","Elected MP","27-Aug-2026","NIRVI ELECTRICALS","Payment Success","149730"
"908","Gujarat","Lighting of public spaces","WS/MP070/2025-2026/213547","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Smt. Ramilaben Becharbhai Bara (2020-26) (2020-2026)","Elected MP","27-Aug-2026","NIRVI ELECTRICALS","Payment Success","149730"
"909","Gujarat","Lighting of public spaces","WS/MP070/2025-2026/213548","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Smt. Ramilaben Becharbhai Bara (2020-26) (2020-2026)","Elected MP","27-Aug-2026","NIRVI ELECTRICALS","Payment Success","149730"
"910","Gujarat","Lighting of public spaces","WS/MP070/2025-2026/213549","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Smt. Ramilaben Becharbhai Bara (2020-26) (2020-2026)","Elected MP","27-Aug-2026","NIRVI ELECTRICALS","Payment Success","149730"
"911","Gujarat","Lighting of public spaces","WS/MP070/2025-2026/213550","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Smt. Ramilaben Becharbhai Bara (2020-26) (2020-2026)","Elected MP","27-Aug-2026","NIRVI ELECTRICALS","Payment Success","149730"
"912","Telangana","Construction of community centers and community halls","WS/MP170/2026-2027/232249","ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA)","Shri K.R. Suresh Reddy (2020-26) (2020-2026)","Elected MP","24-Jun-2026","Jadhav Raghupathi","Payment Success","422836"
"913","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18420/2026-2027/276685","RAIGAD(DISTRICT COLLECTOR RAIGAD_IDA)","Shri Dhairyashil Mohan Patil (2024-26) (2024-2026)","Elected MP","24-Jun-2026","Shubham Shivaji More","Payment Success","250000"
"914","Mizoram","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP129/2026-2027/282217","AIZAWL(DEPUTY COMMISSIONER AIZAWL_IDA)","Shri K. Vanlalvena (2020-26) (2020-2026)","Elected MP","29-Jul-2026","Bawngkawn Local Council 2026","Payment Success","225000"
"915","Haryana","Construction of additional rooms and halls in the existing public and community building","WS/MP075/2025-2026/30524","ROHTAK(DEPUTY COMMISSIONER ROHTAK_IDA)","Shri Deepender Singh Hooda (2020-24) (2020-2024)","Elected MP","23-Jul-2026","Rvinder","Payment Success","78132"
"916","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP077/2026-2027/270138","ROHTAK(DEPUTY COMMISSIONER ROHTAK_IDA)","Shri Ram Chander Jangra (2020-26) (2020-2026)","Elected MP","17-Jun-2026","Rvinder","Payment Success","42791"
"917","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP077/2026-2027/270132","ROHTAK(DEPUTY COMMISSIONER ROHTAK_IDA)","Shri Ram Chander Jangra (2020-26) (2020-2026)","Elected MP","18-Jun-2026","Rvinder","Payment Success","61215"
"918","Haryana","Construction of community centers and community halls","WS/MP077/2025-2026/178542","ROHTAK(DEPUTY COMMISSIONER ROHTAK_IDA)","Shri Ram Chander Jangra (2020-26) (2020-2026)","Elected MP","17-Jun-2026","The Shri Shri 1008 BHN Co OP L and C Society","Payment Success","423215"
"919","Haryana","Construction of community centers and community halls","WS/MP077/2026-2027/271499","ROHTAK(DEPUTY COMMISSIONER ROHTAK_IDA)","Shri Ram Chander Jangra (2020-26) (2020-2026)","Elected MP","21-Jul-2026","The Shri Shri 1008 BHN Co OP L and C Society","Payment Success","434172"
"920","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP077/2026-2027/270138","ROHTAK(DEPUTY COMMISSIONER ROHTAK_IDA)","Shri Ram Chander Jangra (2020-26) (2020-2026)","Elected MP","17-Jun-2026","Satender Singh","Payment Success","60600"
"921","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP077/2026-2027/270132","ROHTAK(DEPUTY COMMISSIONER ROHTAK_IDA)","Shri Ram Chander Jangra (2020-26) (2020-2026)","Elected MP","18-Jun-2026","NK TRADING CO","Payment Success","428785"
"922","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP077/2026-2027/270138","ROHTAK(DEPUTY COMMISSIONER ROHTAK_IDA)","Shri Ram Chander Jangra (2020-26) (2020-2026)","Elected MP","17-Jun-2026","NK TRADING CO","Payment Success","346609"
"923","Maharashtra","Construction of boundary walls of existing public and community buildings","WS/MP111/2024-2025/128548","RATNAGIRI(District Collector Ratnagiri_IDA)","Shri Narayan Rane (2018-24) (2018-2024)","Elected MP","13-Jul-2026","group grampanchayat nanar","Payment Success","600000"
"924","Madhya Pradesh","Construction of community centers and community halls","WS/MP232/2026-2027/275335","RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA)","Shri Digvijaya Singh (2020-26) (2020-2026)","Elected MP","18-Jun-2026","GP AMLABE JP ZIRAPUR","Payment Success","250000"
"925","Tamil Nadu","Construction of public libraries and reading rooms","WS/MP156/2026-2027/258762","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","Shri N.R. Elango (2020-26) (2020-2026)","Elected MP","23-Jun-2026","G ENTERPRISES","Payment Success","846178"
"926","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP083/2025-2026/217542","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","18-Jul-2026","PIYUSH KUMAR GOLDAR","Payment Success","251000"
"927","Jharkhand","Providing drains and gutters for public drainage","WS/MP083/2025-2026/218655","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","20-Jun-2026","PIYUSH KUMAR GOLDAR","Payment Success","300000"
"928","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP083/2025-2026/218660","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","20-Jun-2026","PIYUSH KUMAR GOLDAR","Payment Success","300000"
"929","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP083/2025-2026/185426","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","18-Jul-2026","PIYUSH KUMAR GOLDAR","Payment Success","400000"
"930","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP083/2025-2026/217601","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","20-Jun-2026","PIYUSH KUMAR GOLDAR","Payment Success","251000"
"931","Jharkhand","Providing drains and gutters for public drainage","WS/MP083/2025-2026/185422","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","18-Jul-2026","PIYUSH KUMAR GOLDAR","Payment Success","500000"
"932","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP083/2025-2026/185438","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","18-Jul-2026","PIYUSH KUMAR GOLDAR","Payment Success","400000"
"933","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP083/2025-2026/218659","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","23-Jun-2026","PIYUSH KUMAR GOLDAR","Payment Success","300000"
"934","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP083/2025-2026/217562","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","20-Jun-2026","PIYUSH KUMAR GOLDAR","Payment Success","251000"
