"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"26252","Normal/Others","NA-Construction of community centers and community halls","Telangana","JAYASHANKAR BHUPALAPALLY(DISTRICT COLLECTOR JAYASHANKAR BHUPALPALLY_IDA)","Shri Devender Goud T. (2012-18) (2012-2018)","Elected MP","Construction of BC Community Hall at Buddaram Village Ghanpur Mulugu Mandal Warangal District","25-May-2026","200000","NA"
"26253","Normal/Others","NA-Construction of community centers and community halls","Telangana","JAYASHANKAR BHUPALAPALLY(DISTRICT COLLECTOR JAYASHANKAR BHUPALPALLY_IDA)","Shri Devender Goud T. (2012-18) (2012-2018)","Elected MP","Construction  of BC Community Hall at Buddaram Village Ghanpur Mulugu Mandal Warangal District","25-May-2026","140000","NA"
"26254","Normal/Others","NA-Construction of community centers and community halls","Telangana","JAYASHANKAR BHUPALAPALLY(DISTRICT COLLECTOR JAYASHANKAR BHUPALPALLY_IDA)","Shri Devender Goud T. (2012-18) (2012-2018)","Elected MP","Construction of Community Hall near Mudirajwada at Gandhi nagar Village Ghanpur Mulugu Mandal  Waranaal District","25-May-2026","200000","NA"
"26255","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","SURYAPET(DISTRICT COLLECTOR SURYAPET)","Shri Devender Goud T. (2012-18) (2012-2018)","Elected MP","SC Laying of CC Road from P Samyel H to Avillaiah H Velugupally  Village Thungaturthy Mandal Suryapet District","25-May-2026","500000","NA"
"26256","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","Shri Devender Goud T. (2012-18) (2012-2018)","Elected MP","Laying of CC road from Yampalla Srinivas redddy H to Yampalla  Narsi Reddy H Vartoor Village Mutakondur  Mandal Yadadri Bhongir District","25-May-2026","250000","NA"
"26257","Normal/Others","NA-Construction of bus-sheds or bus-stops","Telangana","MEDCHAL MALKAJGIRI(DISTRICT COLLECTOR MEDCHAL MALKAJGIRI_IDA)","Shri Devender Goud T. (2012-18) (2012-2018)","Elected MP","Modern Bus stand Venkatreddy Nagar Ramanthapur Uppal Ranga Reddy District","25-May-2026","62500","NA"
"26258","Normal/Others","NA-Construction of community centers and community halls","Telangana","MEDCHAL MALKAJGIRI(DISTRICT COLLECTOR MEDCHAL MALKAJGIRI_IDA)","Shri Devender Goud T. (2012-18) (2012-2018)","Elected MP","Community Hall at Uppal Hills Uppal","25-May-2026","287500","NA"
"26259","Normal/Others","NA-Providing drains and gutters for public drainage","Telangana","MEDCHAL MALKAJGIRI(DISTRICT COLLECTOR MEDCHAL MALKAJGIRI_IDA)","Shri Devender Goud T. (2012-18) (2012-2018)","Elected MP","Laying of 200mm Dia UGD line From 2 4 118 145 to 2 4 118 158 South Swaroop Nagar Wnrd No 05 Uppal","25-May-2026","125000","NA"
"26260","Normal/Others","NA-Installing tube-wells and borewells","Telangana","MEDCHAL MALKAJGIRI(DISTRICT COLLECTOR MEDCHAL MALKAJGIRI_IDA)","Shri Devender Goud T. (2012-18) (2012-2018)","Elected MP","Drilling of 6 1 2 Dia Borewell Near minorities graveyard Chilkanaaar  Ward No 05 Uppal","25-May-2026","75000","NA"
"26261","Normal/Others","NA-Providing drains and gutters for public drainage","Telangana","MEDCHAL MALKAJGIRI(DISTRICT COLLECTOR MEDCHAL MALKAJGIRI_IDA)","Shri Devender Goud T. (2012-18) (2012-2018)","Elected MP","Modeling of SW Drain With 450 mm Dia NP2 Pipeline  At House No2 18 168 to 2 18 124  2 18 108 to 2 18 174 Indira nagar Ward No 05 Uppal","25-May-2026","175000","NA"
"26262","Normal/Others","NA-Installing tube-wells and borewells","Telangana","MEDCHAL MALKAJGIRI(DISTRICT COLLECTOR MEDCHAL MALKAJGIRI_IDA)","Shri Devender Goud T. (2012-18) (2012-2018)","Elected MP","Digging to open well and erection of pump set to Edu Metla Bhavi At Beerappagadda Ward No 05 Uppal","25-May-2026","75000","NA"
"26263","Normal/Others","NA-Providing drains and gutters for public drainage","Telangana","MEDCHAL MALKAJGIRI(DISTRICT COLLECTOR MEDCHAL MALKAJGIRI_IDA)","Shri Devender Goud T. (2012-18) (2012-2018)","Elected MP","Modeling of SW Drain by 450 mm dia NP2 Pipeline Near Edu Metla Bhavi Beerappagadda Ward No 05 Uppal","25-May-2026","125000","NA"
"26264","Normal/Others","NA-Installing tube-wells and borewells","Telangana","MEDCHAL MALKAJGIRI(DISTRICT COLLECTOR MEDCHAL MALKAJGIRI_IDA)","Shri Devender Goud T. (2012-18) (2012-2018)","Elected MP","Bore Motor Static Tank Bath Rooms and Street Lights Near Burial Ground Habsiguda Uppal","25-May-2026","125000","NA"
"26265","Normal/Others","NA-Construction of community centers and community halls","Telangana","MEDCHAL MALKAJGIRI(DISTRICT COLLECTOR MEDCHAL MALKAJGIRI_IDA)","Shri Devender Goud T. (2012-18) (2012-2018)","Elected MP","Construction of Community Hall Vasavi nagar welfare Association Habsiguda Uppal","25-May-2026","125000","NA"
"26266","Normal/Others","NA-Installing tube-wells and borewells","Telangana","MEDCHAL MALKAJGIRI(DISTRICT COLLECTOR MEDCHAL MALKAJGIRI_IDA)","Shri Devender Goud T. (2012-18) (2012-2018)","Elected MP","Bore Motor Static Tank Vijayapuri colony Ramanthapur disivision Uppal Ghmc","25-May-2026","62500","NA"
"26267","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","MEDCHAL MALKAJGIRI(DISTRICT COLLECTOR MEDCHAL MALKAJGIRI_IDA)","Shri Devender Goud T. (2012-18) (2012-2018)","Elected MP","CC Road Adarsh Nagar colony Cherlapally Division Kapra","25-May-2026","100000","NA"
"26268","Normal/Others","NA-Construction of community centers and community halls","Telangana","MEDCHAL MALKAJGIRI(DISTRICT COLLECTOR MEDCHAL MALKAJGIRI_IDA)","Shri Devender Goud T. (2012-18) (2012-2018)","Elected MP","Construction of Community Hall Sitharam nagar Colony near Chakripuram Charlapally Division Kapra RR District","25-May-2026","500000","NA"
"26269","Normal/Others","NA-Installing tube-wells and borewells","Telangana","MEDCHAL MALKAJGIRI(DISTRICT COLLECTOR MEDCHAL MALKAJGIRI_IDA)","Shri Devender Goud T. (2012-18) (2012-2018)","Elected MP","Bore Motor Static Tank Bharath Nagar Jammigadda Cherlapally Division Kapra","25-May-2026","62500","NA"
"26270","Normal/Others","NA-Installing tube-wells and borewells","Telangana","MEDCHAL MALKAJGIRI(DISTRICT COLLECTOR MEDCHAL MALKAJGIRI_IDA)","Shri Devender Goud T. (2012-18) (2012-2018)","Elected MP","Borewell Pumpset Static Tank Seetharam Nagar Colony Chekrapuri Cherlapally Division Kapra","25-May-2026","62500","NA"
