"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"24091","Normal/Others","WS/MP232/2026-2027/276709-Construction of community centers and community halls","Madhya Pradesh","RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA)","Shri Digvijaya Singh (2020-26) (2020-2026)","Elected MP","Construction of Community Building (Mangalik Bhawan) in village Bhenswa Mata under Gram Panchayat Bhenswa Mata (Near Kundi-Old Society) Tehasil Sarangpur dist. Rajgarh","30-Mar-2026","18-Apr-2026","499734","Vendor Identification"
"24092","Normal/Others","WS/MP18416/2026-2027/276740-Providing drains and gutters for public drainage","Madhya Pradesh","SHAJAPUR(District Collector Shajapur_IDA)","Shri George Kurian (2024-26) (2024-2026)","Elected MP","Construction of CC Drain From Rajaram House to Main Drain","30-Mar-2026","24-Jun-2026","2500000","Vendor Identification"
"24093","Normal/Others","WS/MP090/2026-2027/277033-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BELAGAVI(DEPUTY COMMISSIONER BELGAUM_IDA)","Shri Iranna Kadadi (2020-26) (2020-2026)","Elected MP","Improvement of   Road  near Shri hanuman Temple Gulagonjikoppa Village taluk Mudalagi","31-Mar-2026","23-Jul-2026","500000","Work partially Completed"
"24094","Normal/Others","WS/MP090/2026-2027/277034-Construction of community centers and community halls","Karnataka","BELAGAVI(DEPUTY COMMISSIONER BELGAUM_IDA)","Shri Iranna Kadadi (2020-26) (2020-2026)","Elected MP","Construction of samuday bhavan   near Shri Ninga Devar Devastan Kopadatti Village taluk Mudalagi Continuted Work","31-Mar-2026","04-Sep-2026","500000","Sanction"
"24095","Normal/Others","WS/MP18424/2026-2027/277035-Lighting of public spaces","Odisha","JAGATSINGHAPUR(DISTRICT COLLECTOR JAGATSINGHPUR_IDA)","Shri Sujeet Kumar (2024-26) (2024-2026)","Elected MP","Installation of Semi High Mast LED Light Post Near Nrusinghanath Temple in Khadagpur Village","31-Mar-2026","31-Aug-2026","150000","Sanction"
"24096","Normal/Others","WS/MP18424/2026-2027/277036-Lighting of public spaces","Odisha","JAGATSINGHAPUR(DISTRICT COLLECTOR JAGATSINGHPUR_IDA)","Shri Sujeet Kumar (2024-26) (2024-2026)","Elected MP","Installation of Semi High Mast LED Light Post Near Panchamukhi CRC in Srirampur Village","31-Mar-2026","31-Aug-2026","150000","Sanction"
"24097","Normal/Others","WS/MP18424/2026-2027/277037-Street lights","Odisha","JAGATSINGHAPUR(DISTRICT COLLECTOR JAGATSINGHPUR_IDA)","Shri Sujeet Kumar (2024-26) (2024-2026)","Elected MP","Installation of Solar Light Post Near L. P. Choudhury House in Sagabaria Village","31-Mar-2026","31-Aug-2026","100000","Sanction"
"24098","Normal/Others","WS/MP232/2026-2027/277047-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","MANDLA(DISTRICT COLLECTOR MANDLA_IDA)","Shri Digvijaya Singh (2020-26) (2020-2026)","Elected MP","Construction of CC Road in Village Simaraha in tehasil Nainpur, Dist. Mandla","31-Mar-2026","21-May-2026","150000","Work partially Completed"
"24099","Normal/Others","WS/MP18424/2026-2027/277065-Construction of rooms and halls in school and colleges","Odisha","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","Shri Sujeet Kumar (2024-26) (2024-2026)","Elected MP","Const. of Addl. Classroom in Saraswati Sishu Vidyamandir, Mukhiguda","31-Mar-2026","18-May-2026","700000","Sanction"
"24100","Normal/Others","WS/MP232/2026-2027/277068-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA)","Shri Digvijaya Singh (2020-26) (2020-2026)","Elected MP","Construction of CC Road near Shyam Kho Mahadev in village Pahadgarh, Tehasil Suthalia, Dist. Rajgarh","31-Mar-2026","18-Apr-2026","150000","Vendor Identification"
"24101","Normal/Others","WS/MP18424/2026-2027/277070-Street lights","Odisha","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Shri Sujeet Kumar (2024-26) (2024-2026)","Elected MP","Installation of Solar Street Lights in Harinababipatna (Purusottampur) Village","31-Mar-2026","28-Jul-2026","500000","Work partially Completed"
"24102","Normal/Others","WS/MP232/2026-2027/277073-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA)","Shri Digvijaya Singh (2020-26) (2020-2026)","Elected MP","Construction of CC road in village Dhand under Gram Panchayat Baskho, Tehasil Rajgarh, Dist. Rajgarh","31-Mar-2026","18-Apr-2026","150000","Vendor Identification"
"24103","Normal/Others","WS/MP232/2026-2027/277074-Construction of culverts and bridges","Madhya Pradesh","RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA)","Shri Digvijaya Singh (2020-26) (2020-2026)","Elected MP","Construction of culvert (Puliya) in village Lasudlya Bhama (On the way of Nipanya Bela) under Gram Panchayat Mughalkhedi, Tehasil Narsingharh, Dist. Rajgarh","31-Mar-2026","18-Apr-2026","99969","Vendor Identification"
"24104","Normal/Others","WS/MP18424/2026-2027/277094-Construction of community centers and community halls","Odisha","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Shri Sujeet Kumar (2024-26) (2024-2026)","Elected MP","Construction of Community Hall in Arakhia Village","31-Mar-2026","11-Aug-2026","300000","Physical Inspection"
"24105","Normal/Others","WS/MP177/2026-2027/277179-Construction of culverts and bridges","Chhattisgarh","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Shri K.T.S. Tulsi (2020-26) (2020-2026)","Elected MP","Construction of Culvert on the Access Road from the Main Road to Pandri Nala","07-Apr-2026","14-May-2026","1165000","Work partially Completed"
"24106","Normal/Others","WS/MP090/2026-2027/277181-Construction of bus-sheds or bus-stops","Karnataka","BELAGAVI(DEPUTY COMMISSIONER BELGAUM_IDA)","Shri Iranna Kadadi (2020-26) (2020-2026)","Elected MP","Construction of  Bus Shelter at Badalankalgi Village","01-Apr-2026","01-Jul-2026","500000","Work partially Completed"
"24107","Normal/Others","WS/MP090/2026-2027/277182-Construction of bus-sheds or bus-stops","Karnataka","BELAGAVI(DEPUTY COMMISSIONER BELGAUM_IDA)","Shri Iranna Kadadi (2020-26) (2020-2026)","Elected MP","Construction of  Bus Shelter at Shindholi Village Tq Belagavi","01-Apr-2026","01-Jul-2026","500000","Work partially Completed"
"24108","Normal/Others","WS/EXRS066/2026-2027/277252-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","BHOPAL(DISTRICT COLLECTOR BHOPAL_IDA)","Shri M. J. Akbar (2016-22) (2016-2022)","Elected MP","C.C. EVAM NALI NIRMAN,GRAM PANCHAYAT BHUJPURAKALAN","07-Apr-2026","17-Apr-2026","750000","Work partially Completed"
"24109","Normal/Others","WS/MP18424/2026-2027/277277-Lighting of public spaces","Odisha","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","Shri Sujeet Kumar (2024-26) (2024-2026)","Elected MP","Installation of Solar High Mast Light and Solar Street Lights near Patharla Shiva Temple","02-Apr-2026","18-May-2026","800000","Physical Inspection"
"24110","Normal/Others","WS/MP18424/2026-2027/277278-Providing supply pipelines for drinking water","Odisha","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","Shri Sujeet Kumar (2024-26) (2024-2026)","Elected MP","Installation of Pipe Water Supply through Solar system in Jhikemike village","02-Apr-2026","18-May-2026","500000","Vendor Identification"
"24111","Normal/Others","WS/MP18424/2026-2027/277279-Lighting of public spaces","Odisha","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","Shri Sujeet Kumar (2024-26) (2024-2026)","Elected MP","Installation of Semi Integrated Solar High Mast Light and Solar Street Lights at Kupagaon Play Field and Childrens Park","02-Apr-2026","18-May-2026","1000000","Vendor Identification"
"24112","Normal/Others","WS/MP18424/2026-2027/277280-Street lights","Odisha","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","Shri Sujeet Kumar (2024-26) (2024-2026)","Elected MP","Installation of Solar Street Light in Upar Rachuguda and Rakastunda villages","02-Apr-2026","18-May-2026","660000","Vendor Identification"
"24113","Normal/Others","WS/MP079/2026-2027/277306-Construction of community centers and community halls","Himachal Pradesh","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Ms. Indu Bala Goswami (2020-26) (2020-2026)","Elected MP","Community Hall at Ward No. 5 Village Suliyali GP Suliyali","03-Apr-2026","23-Jul-2026","1000000","Sanction"
"24114","Normal/Others","WS/MP079/2026-2027/277483-Construction of community centers and community halls","Himachal Pradesh","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Ms. Indu Bala Goswami (2020-26) (2020-2026)","Elected MP","Construction of Mahila Mandal Bhawan Bhagwati Mahila Mandal Naulakhri Ward No. 1 GP Kalund Tehsil Palampur Distt. Kangra HP (Additional)","05-Apr-2026","27-Jun-2026","200000","Vendor Identification"
"24115","Normal/Others","WS/MP079/2026-2027/277484-Construction of public irrigation facilities","Himachal Pradesh","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Ms. Indu Bala Goswami (2020-26) (2020-2026)","Elected MP","Construction and Repair of Kuhal in Agricultural land near the house of Sh. Anil Sharma and others Village Chandropa, Palampur Kangra HP","05-Apr-2026","10-Apr-2026","100000","Physical Inspection"
"24116","Normal/Others","WS/MP079/2026-2027/277496-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","BILASPUR(DEPUTY COMMISSIONER, BILASPUR)","Ms. Indu Bala Goswami (2020-26) (2020-2026)","Elected MP","Paver Block near the house of Sh. Pyar Singh at VPO Pater","05-Apr-2026","23-Apr-2026","300000","Vendor Identification"
"24117","Normal/Others","WS/MP079/2026-2027/277497-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Himachal Pradesh","BILASPUR(DEPUTY COMMISSIONER, BILASPUR)","Ms. Indu Bala Goswami (2020-26) (2020-2026)","Elected MP","Retaining Wall near Moksh Dham at Village Salwan PO Ladda","05-Apr-2026","23-Apr-2026","300000","Vendor Identification"
"24118","Normal/Others","WS/MP079/2026-2027/277498-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","BILASPUR(DEPUTY COMMISSIONER, BILASPUR)","Ms. Indu Bala Goswami (2020-26) (2020-2026)","Elected MP","Link road or Path near Moksh Dham towards Village Salwan PO Ladda","05-Apr-2026","23-Apr-2026","100000","Vendor Identification"
"24119","Normal/Others","WS/MP079/2026-2027/277499-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","BILASPUR(DEPUTY COMMISSIONER, BILASPUR)","Ms. Indu Bala Goswami (2020-26) (2020-2026)","Elected MP","Link road or Path from Patwar Circle to OBC Basti at Village Dehar Morsinghi","05-Apr-2026","23-Apr-2026","150000","Vendor Identification"
"24120","Normal/Others","WS/MP079/2026-2027/277500-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","BILASPUR(DEPUTY COMMISSIONER, BILASPUR)","Ms. Indu Bala Goswami (2020-26) (2020-2026)","Elected MP","Link road or Path from Sulhan to SC Basti at Village Mad Morsinghi","05-Apr-2026","23-Apr-2026","150000","Vendor Identification"
"24121","Normal/Others","WS/MP079/2026-2027/277512-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Himachal Pradesh","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Ms. Indu Bala Goswami (2020-26) (2020-2026)","Elected MP","Protection wall along roadside pathway goes towards residential society NP Baijnath Paprola Ward No. 3 from NH towards residential area Baijnath Kangra HP Additional","05-Apr-2026","27-Jun-2026","400000","Work partially Completed"
"24122","Normal/Others","WS/MP079/2026-2027/277514-Installing community drinking water plants","Himachal Pradesh","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Ms. Indu Bala Goswami (2020-26) (2020-2026)","Elected MP","Installation of water coolers at different Public Places or Main Bazaar Baijnath NP Baijnath-Paprola Tehsil Baijnath Distt. Kangra","05-Apr-2026","02-Jul-2026","450000","Sanction"
"24123","Normal/Others","WS/MP079/2026-2027/277515-Installation of multi-gym equipment","Himachal Pradesh","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Ms. Indu Bala Goswami (2020-26) (2020-2026)","Elected MP","Installation of Gym at Aashapuri Park Ward No. 3 NP Baijnath-Paprola","05-Apr-2026","22-May-2026","200000","Sanction"
"24124","Normal/Others","WS/MP232/2026-2027/277575-Construction of community centers and community halls","Madhya Pradesh","RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA)","Shri Digvijaya Singh (2020-26) (2020-2026)","Elected MP","Construction of Community building in Harijan Mohalla of village Limboda under Gram Panchayat Limboda, Tehasil Khujner, Dist. Rajgarh","06-Apr-2026","20-May-2026","500000","Vendor Identification"
"24125","Normal/Others","WS/MP177/2026-2027/277578-Construction of common work sheds/ common covered sitting area","Chhattisgarh","SHAJAPUR(District Collector Shajapur_IDA)","Shri K.T.S. Tulsi (2020-26) (2020-2026)","Elected MP","TIN SHED","06-Apr-2026","24-Jun-2026","1499000","Vendor Identification"
"24126","Normal/Others","WS/MP177/2026-2027/277637-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Chhattisgarh","Gaurela-Pendra-Marwahi(Collector GPM_IDA)","Shri K.T.S. Tulsi (2020-26) (2020-2026)","Elected MP","Construction of returning wall in Elan Nala","07-Apr-2026","20-May-2026","1000000","Work partially Completed"
"24127","Normal/Others","WS/MP077/2026-2027/277676-Construction of community centers and community halls","Haryana","ROHTAK(DEPUTY COMMISSIONER ROHTAK_IDA)","Shri Ram Chander Jangra (2020-26) (2020-2026)","Elected MP","Development works in BC Chaupal","07-Apr-2026","29-Jul-2026","334538","Sanction"
"24128","Normal/Others","WS/MP224/2026-2027/277700-Purchase of IT systems, including hardware and software for educational purposes","Chhattisgarh","BILASPUR(DISTRICT COLLECTOR BILASPUR_IDA)","Smt. Phulo Devi Netam (2020-26) (2020-2026)","Elected MP","Govt. Purv Madhyamik Shala Amaldiha me Computer Sthapna karya","07-Apr-2026","13-May-2026","500000","Physical Inspection"
"24129","Normal/Others","WS/MP224/2026-2027/277701-Purchase of IT systems, including hardware and software for educational purposes","Chhattisgarh","BILASPUR(DISTRICT COLLECTOR BILASPUR_IDA)","Smt. Phulo Devi Netam (2020-26) (2020-2026)","Elected MP","Govt. Purv Madhyamik Shala Kohrauda me Computer Sthapna karya","07-Apr-2026","13-May-2026","500000","Physical Inspection"
"24130","Normal/Others","WS/MP224/2026-2027/277702-Purchase of IT systems, including hardware and software for educational purposes","Chhattisgarh","BILASPUR(DISTRICT COLLECTOR BILASPUR_IDA)","Smt. Phulo Devi Netam (2020-26) (2020-2026)","Elected MP","Govt. Purv Madhyamik Shala me Mohtara me Computer Sthapna Karya","07-Apr-2026","13-May-2026","500000","Physical Inspection"
"24131","Normal/Others","WS/MP224/2026-2027/277703-Purchase of IT systems, including hardware and software for educational purposes","Chhattisgarh","BILASPUR(DISTRICT COLLECTOR BILASPUR_IDA)","Smt. Phulo Devi Netam (2020-26) (2020-2026)","Elected MP","Govt. Purv Madhyamik Shala Jhal me Computer Sthapna Karya","07-Apr-2026","13-May-2026","500000","Physical Inspection"
"24132","Normal/Others","WS/MP224/2026-2027/277704-Purchase of IT systems, including hardware and software for educational purposes","Chhattisgarh","BILASPUR(DISTRICT COLLECTOR BILASPUR_IDA)","Smt. Phulo Devi Netam (2020-26) (2020-2026)","Elected MP","Govt. Purv Madhyamik Shala Bartori me Computer Sthapna Karya","07-Apr-2026","13-May-2026","500000","Physical Inspection"
"24133","Normal/Others","WS/MP224/2026-2027/277705-Purchase of IT systems, including hardware and software for educational purposes","Chhattisgarh","BILASPUR(DISTRICT COLLECTOR BILASPUR_IDA)","Smt. Phulo Devi Netam (2020-26) (2020-2026)","Elected MP","Govt. Purv Madhyamik Shala Hirri me Compter Sthapna Karya","07-Apr-2026","13-May-2026","500000","Physical Inspection"
"24134","Normal/Others","WS/MP224/2026-2027/277706-Purchase of IT systems, including hardware and software for educational purposes","Chhattisgarh","BILASPUR(DISTRICT COLLECTOR BILASPUR_IDA)","Smt. Phulo Devi Netam (2020-26) (2020-2026)","Elected MP","Govt. Purv Madhyamik Shala Mohbhattha me Computer Sthapna Karya","07-Apr-2026","13-May-2026","500000","Physical Inspection"
"24135","Normal/Others","WS/MP224/2026-2027/277707-Purchase of IT systems, including hardware and software for educational purposes","Chhattisgarh","BILASPUR(DISTRICT COLLECTOR BILASPUR_IDA)","Smt. Phulo Devi Netam (2020-26) (2020-2026)","Elected MP","Govt. Purv Madhyamik Shala Umariya me Computer Sthapna Karya","07-Apr-2026","13-May-2026","500000","Physical Inspection"
"24136","Normal/Others","WS/MP224/2026-2027/277708-Purchase of IT systems, including hardware and software for educational purposes","Chhattisgarh","BILASPUR(DISTRICT COLLECTOR BILASPUR_IDA)","Smt. Phulo Devi Netam (2020-26) (2020-2026)","Elected MP","Govt. Purv Madhyamik Shala Sardha me Computer Sthapna Karya","07-Apr-2026","13-May-2026","500000","Physical Inspection"
"24137","Normal/Others","WS/MP224/2026-2027/277709-Purchase of IT systems, including hardware and software for educational purposes","Chhattisgarh","BILASPUR(DISTRICT COLLECTOR BILASPUR_IDA)","Smt. Phulo Devi Netam (2020-26) (2020-2026)","Elected MP","Govt. Purv Madhyamik Shala Bhaisbod me Computer Sthapna Karya","07-Apr-2026","13-May-2026","500000","Physical Inspection"
"24138","Normal/Others","WS/MP224/2026-2027/277710-Purchase of IT systems, including hardware and software for educational purposes","Chhattisgarh","BILASPUR(DISTRICT COLLECTOR BILASPUR_IDA)","Smt. Phulo Devi Netam (2020-26) (2020-2026)","Elected MP","Govt. Purv Madhyamik Shala Belsara me Computer Sthapna Karya","07-Apr-2026","13-May-2026","500000","Physical Inspection"
"24139","Normal/Others","WS/MP224/2026-2027/277711-Purchase of IT systems, including hardware and software for educational purposes","Chhattisgarh","BILASPUR(DISTRICT COLLECTOR BILASPUR_IDA)","Smt. Phulo Devi Netam (2020-26) (2020-2026)","Elected MP","Govt. Purv Madhyamik Shala Bandha me Compter Sthapna Karya","07-Apr-2026","13-May-2026","500000","Physical Inspection"
